asset_id,location_id,original_latitude,original_longitude,facility_name,risk_category,suburb
271,184889,-37.4777453,144.3046931,Frankston Special Developmental School - Blackwood Special Schools Outdoor Education Centre,CAT 1,Blackwood
272,389987,-38.2638573,144.2797554,Freshwater Creek Steiner Kindergarten,CAT 3,Freshwater Creek
273,389987,-38.2638573,144.2797554,Freshwater Creek Steiner School,CAT 3,Freshwater Creek
274,384475,-37.127266,146.3058654,Geelong Grammar School - Timbertop Campus,CAT 2,Merrijig Via Mansfield
275,286412,-37.9516258,145.5422536,Gembrook Preschool,CAT 3,Gembrook
276,286412,-37.9514618,145.5428258,Gembrook Primary School,CAT 3,Gembrook
277,292379,-37.8293214,145.319442,Ghilgai School,CAT 3,Kilsyth
278,183644,-37.4978041,144.5856057,Gisborne Secondary College,CAT 3,Gisborne
279,273352,-37.8205683,145.6507251,Gladysdale Primary School,CAT 3,Gladysdale
280,452018,-37.5249463,143.9348326,Glen Park Primary School,CAT 3,Glen Park
281,157117,-38.1730486,142.9577511,Glenormiston Hall,CAT 3,Glenormiston
282,395867,-36.4674723,146.1880168,Glenrowan Kindergarten,CAT 3,Glenrowan
283,66444,-36.4602243,146.2232187,Glenrowan Primary School,CAT 3,Glenrowan
284,66444,-36.4602243,146.2232187,Glenrowan Primary School OSHC,CAT 3,Glenrowan
285,115413,-37.4532731,144.5985071,Global Village Learning,CAT 3,New Gisborne
286,295481,-37.926301,145.3528698,Goodstart Early Learning Belgrave Heights,CAT 3,Belgrave Heights
287,322933,-38.1140825,145.1883071,Goodstart Early Learning Carrum Downs - Arcadia Street,CAT 3,Carrum Downs
288,183547,-36.773528,144.2486169,Goodstart Early Learning Golden Square,CAT 3,Golden Square
289,183550,-36.7986168,144.2453325,Goodstart Early Learning Kangaroo Flat,CAT 3,Kangaroo Flat
290,284431,-37.7973967,145.3596798,Goodstart Early Learning Montrose,CAT 3,Montrose
291,448707,-37.5970791,143.8674743,Goodstart Early Learning Mount Clear,CAT 3,Mount Clear
292,452225,-37.6258774,143.8784753,Goodstart Early Learning Mount Helen,CAT 3,Mount Helen
293,124183,-37.469681,144.5960507,Goodstart Early Learning New Gisborne,CAT 3,New Gisborne
294,115816,-37.4413207,144.7037312,Goodstart Early Learning Riddells Creek,CAT 3,Riddells Creek
295,425082,-36.8059019,144.3542311,Goodstart Early Learning Strathfieldsaye,CAT 3,Strathfieldsaye
296,30577,-37.3604913,144.5324806,Goodstart Early Learning Woodend,CAT 3,Woodend
297,252294,-36.6168461,144.505233,Goornong OSHClub,CAT 3,Goornong
298,252294,-36.6168461,144.505233,Goornong Primary School,CAT 3,Goornong
299,367517,-38.292985,146.7039148,Gormandale And District Primary School,CAT 3,Gormandale
300,367517,-38.2941618,146.7034474,Gormandale Uniting Kindergarten,CAT 3,Gormandale
301,452223,-37.6086018,143.873238,Great Beginnings Mt Clear,CAT 3,Mount Clear
302,188947,-37.1486195,142.8508109,Great Western Primary School,CAT 3,Great Western
303,252496,-37.6995262,145.1128348,Greenhills Neighbourhood Centre,CAT 3,Greensborough
304,252496,-37.699617,145.1141673,Greenhills Preschool,CAT 3,Greensborough
305,87230,-36.6174682,146.2365807,Greta Valley Primary School,CAT 3,Greta South
306,87230,-36.6174682,146.2365807,Greta Valley Primary School O.S.H.C,CAT 3,Greta South
307,283644,-37.7518192,145.1760672,Guardian Childcare & Education Doncaster East,CAT 3,Doncaster East
308,322805,-38.1346047,145.20903,Guardian Childcare & Education Langwarrin North,CAT 3,Langwarrin
309,322939,-38.1702216,145.1879318,Guardian Childcare & Education Langwarrin South,CAT 3,Langwarrin
310,183646,-37.5018106,144.6077887,Gumboots Early Learning Gisborne,CAT 3,Gisborne
311,133179,-36.4006294,145.3939912,Guthrie Street Child Care Centre,CAT 3,Shepparton
312,133178,-36.3984259,145.3915614,Guthrie Street Primary School Shepparton - Guthrie Street Primary School,CAT 3,Shepparton
313,133179,-36.4006294,145.3939912,Guthrie Street Primary School Shepparton - Shepparton Deaf Facility,CAT 3,Shepparton
314,133178,-36.3984259,145.3915614,Guthrie Street PS TheirCare,CAT 3,Shepparton
315,109467,-37.6595421,145.5127488,Haig Avenue Preschool,CAT 3,Healesville
316,416230,-37.1375461,142.5172494,Halls Gap Primary School,CAT 2,Halls Gap
317,294165,-38.1510473,145.173058,Happy Sunshine ELC,CAT 3,Langwarrin
318,265325,-37.0036776,144.2578998,Harcourt Pre-School,CAT 3,Harcourt
319,265325,-37.0030548,144.2566765,Harcourt Valley Primary School,CAT 3,Harcourt
320,295489,-38.0017612,145.3451398,Harkaway Primary School,CAT 2,Harkaway
321,295489,-38.0017612,145.3451398,Harkaway Primary School (OSHC),CAT 2,Harkaway
322,440017,-36.8877616,147.0652872,Harrietville Bush Kinder,CAT 2,Harrietville
323,440017,-36.8877616,147.0652872,Harrietville Primary School,CAT 2,Harrietville
324,322889,-38.2991983,145.1880884,Hastings Primary School,CAT 3,Hastings
325,41689,-38.1060912,142.3196162,Hawkesdale and District Family Services Centre,CAT 3,Hawkesdale
326,41690,-38.1073634,142.3180493,Hawkesdale P12 College,CAT 3,Hawkesdale
327,151799,-37.6646355,145.5129145,Healesville Early Learning Centre,CAT 3,Healesville
328,151491,-37.6440315,145.5303768,Healesville High School,CAT 3,Healesville
329,109467,-37.6574079,145.5165918,Healesville Primary School,CAT 3,Healesville
330,258790,-36.9243743,144.7071161,Heathcote Primary School,CAT 3,Heathcote
331,311851,-37.9318557,145.4384841,HEI Schools Emerald Early Learning Centre,CAT 3,Emerald
332,423234,-36.7627998,144.3142049,Helen Jessen Early Learning Centre,CAT 3,Bendigo
333,60086,-37.3129824,144.1340011,Hepburn Kindergarten,CAT 3,Hepburn
334,60086,-37.3103677,144.1322989,Hepburn Primary School,CAT 3,Hepburn
335,89280,-37.3479146,144.6194041,Hesket Primary School,CAT 2,Hesket
336,33061,-38.1284381,141.6122197,Heywood Consolidated School,CAT 3,Heywood
337,33061,-38.1295351,141.6208365,Heywood District Secondary College,CAT 3,Heywood
338,33183,-38.1308389,141.6262722,Heywood Early Learning Centre,CAT 3,Heywood
339,33182,-38.1306217,141.6283913,Heywood Kindergarten,CAT 3,Heywood
340,254465,-37.1009666,147.5939827,High Country Uniting Early Learning,CAT 2,Omeo
341,345368,-37.8528149,145.3656904,Hills Community Childcare,CAT 2,Olinda
342,255501,-37.6349397,145.1336209,Hippity Hop Early Learning Yarrambat,CAT 3,Yarrambat
343,292388,-37.831406,145.5973403,Hoddles Creek Primary School,CAT 3,Hoddles Creek
344,115412,-37.4569303,144.5974238,Holy Cross Primary School,CAT 3,New Gisborne
345,247342,-36.9172563,144.7006042,Holy Rosary School,CAT 3,Heathcote
346,428981,-36.7826482,142.1762636,Horsham College - Mc Kenzie Creek Campus,CAT 3,Mckenzie Creek
347,409245,-36.6618283,144.3345358,Huntly Primary School,CAT 3,Huntly
348,265140,-37.6408004,145.1896181,Hurstbridge Children's Centre,CAT 3,Hurstbridge
349,258101,-37.6354843,145.1984715,Hurstbridge Primary School,CAT 3,Hurstbridge
350,258101,-37.6354843,145.1984715,Hurstbridge PS TheirCare,CAT 3,Hurstbridge
351,367518,-38.2942882,146.7019858,In 2 Learn Gormandale,CAT 3,Gormandale
352,416676,-36.5715894,143.868747,In 2 Learn Inglewood,CAT 3,Inglewood
353,369935,-38.2981132,146.5416019,In 2 Learn Traralgon South,CAT 3,Traralgon South
354,315814,-38.0700022,146.1764874,In 2 Learn Willowgrove,CAT 3,Willow Grove
355,416676,-36.5740261,143.8690002,Inglewood Kindergarten,CAT 3,Inglewood
356,416676,-36.5735946,143.8707406,Inglewood Primary School,CAT 3,Inglewood
