id,feed_type,category1,category2,status,name,action,location,created,updated,size,source_org,source_title,latitude,longitude,text
947501,incident,Planned Burn,Planned Burn,Patrolled,,,4.9Km Sw Of Yackandandah,2026-04-22T06:10:31.000Z,2026-04-22T06:10:31.000Z,142.50 Ha.,VIC/DEECA,Back Creek - Schmidt North Track,-36.3537959,146.8206789,
3026021,incident,Planned Burn,Planned Burn,Patrolled,,,.1Km E Of Callignee,2026-04-22T05:40:52.000Z,2026-04-22T05:40:52.000Z,0.38 Ha.,VIC/DEECA,Callignee - Fire Station,-38.3398344,146.5836619,
3023146,incident,Planned Burn,Planned Burn,Patrolled,,,1.3Km Se Of Dromana,2026-04-22T03:55:50.000Z,2026-04-22T03:55:50.000Z,1.03 Ha.,VIC/DEECA,Dromana - Ot Dam,-38.3545475,144.9839799,
3006130,incident,Planned Burn,Planned Burn,Patrolled,,,9Km E Of Munro,2026-04-21T08:33:18.000Z,2026-04-21T08:33:18.000Z,80.47 Ha.,VIC/DEECA,Fernbank - Fernbank Track,-37.910131,147.2981077,
3017209,incident,Planned Burn,Planned Burn,Patrolled,,,0.4Km N Of Moggs Creek,2026-04-20T07:36:46.000Z,2026-04-20T07:36:46.000Z,47.44 Ha.,VIC/DEECA,Moggs Creek - Boyd Avenue,-38.4596424,144.0680691,
3025532,incident,Planned Burn,Planned Burn,Patrolled,,,None,2026-04-19T08:23:14.000Z,2026-04-19T08:23:14.000Z,35.00 Ha.,VIC/DEECA,Winslow-Yarpturk - Koroit Woolsthorpe Road,-38.2223969,142.4090395,
3025530,incident,Planned Burn,Planned Burn,Patrolled,,,2Km N Of Koroit,2026-04-19T08:22:53.000Z,2026-04-19T08:22:53.000Z,14.99 Ha.,VIC/DEECA,Koroit - Koroit-Woolsthorpe Road,-38.2594149,142.3811466,
3023078,incident,Planned Burn,Planned Burn,Patrolled,,,3Km W Of Coleraine,2026-04-19T05:47:19.000Z,2026-04-19T05:47:19.000Z,21.96 Ha.,VIC/DEECA,Coleraine - Glenelg Highway,-37.591232,141.6556543,
3002484,incident,Planned Burn,Planned Burn,Patrolled,,,1Km S Of Mooroopna,2026-04-17T11:18:03.000Z,2026-04-17T11:18:03.000Z,39.62 Ha.,VIC/DEECA,Mooroopna - Rumbalara Road,-36.4059271,145.357878,
3010498,incident,Planned Burn,Planned Burn,Patrolled,,,22Km Se Of Gelantipy,2026-04-17T07:58:12.000Z,2026-04-17T07:58:12.000Z,34838.56 Ha.,VIC/DEECA,Snowy River Np - Snowy River Lmb,-37.3792381,148.4184727,
3007492,incident,Planned Burn,Planned Burn,Patrolled,,,5Km Se Of Bendigo,2026-04-16T23:09:29.000Z,2026-04-16T23:09:29.000Z,28.14 Ha.,VIC/DEECA,Strathdale - Scrub Tk - Dja Dja Wurrung,-36.7843357,144.3215631,
ESTA:260416197,incident,Fire,Building Fire,Under Control,,,"Refinery Rd, Corio",2026-04-15T13:06:00.000Z,2026-04-16T02:05:00.000Z,Small,VIC/CFA,Refinery Rd,-38.076570158066204,144.37248785370574,
3026500,incident,Planned Burn,Planned Burn,Patrolled,,,3Km Sw Of Bullumwaal ,2026-04-15T03:04:45.000Z,2026-04-15T03:04:45.000Z,0.10 Ha.,VIC/DEECA,Bullumwaal - Mt Alfred Rd Heaps ,-37.660652,147.5039658,
102638033,incident,Fire,Bushfire,Under Control,,,3.2Km Se Of Trawool,2026-02-17T01:30:00Z,2026-02-26T23:29:49.6240142Z,389.7 Ha.,VIC/DEECA,Trawool - Tallarook Sf,-37.1325,145.2218,
ESTA:260207626,incident,Fire,Bushfire,Under Control,,,"Trawool - Tallarook Sf - Re-Op, Trawool",2026-02-17T01:17:00.000Z,2026-04-21T07:12:00.000Z,Large,VIC/CFA,Trawool - Tallarook Sf - Re-Op,-37.13104460784669,145.22514611382553,
102612019,incident,Fire,Bushfire,Under Control,,,7.4Km S Of Tomahawk Creek,2026-01-09T08:46:00Z,2026-04-02T00:53:48.8142627Z,11716.14 Ha.,VIC/DEECA,Carlisle River - Pipeline Road,-38.4934772620136,143.42226823618074,
102612023,incident,Fire,Bushfire,Under Control,,,5.9Km E Of Kennedys Creek,2026-01-09T08:25:00Z,2026-04-02T00:53:44.0311256Z,3428.1 Ha.,VIC/DEECA,Kennedys Creek - King Track,-38.58847270340495,143.31410207681358,
102637108,incident,Fire,Bushfire,Under Control,,,3.1Km Sw Of Longwood,2026-01-07T03:30:00Z,2026-02-23T06:43:56.5594178Z,132150 Ha.,VIC/DEECA,Longwood - Berrys Lane,-36.8295,145.4049,
102636016,incident,Fire,Bushfire,Under Control,,,27Km West Of Walwa,2026-01-05T05:58:00Z,2026-02-27T07:06:57.653436Z,120914.35 Ha.,VIC/DEECA,Walwa - River Road,-35.97123403102375,147.44642546334174,
